no,ponpes,text_combined,sentimen_lexicon,aspek_manual,text_refined,tokens,predicted_aspek,predicted_aspek_label,predicted_sentimen_lexicon
1,PPM AL-Ikhlash Lampoko,masyaallah santri ppm al ikhlash serah bantu korban bakar desa bonne bonne,Negatif,Umum,Masyaallah santri ppm al ikhlash serah bantu korban bakar desa bonne bonne,"['masyaallah', 'santri', 'ppm', 'al', 'ikhlash', 'serah', 'bantu', 'korban', 'bakar', 'desa', 'bonne', 'bonne']",8,Sosial,negatif
2,PPM AL-Ikhlash Lampoko,pimpin pondok keren pimpin al ikhlash terima kunjung urus kks rukun keluarga sulawesi kairo,Negatif,Kegiatan Pondok,Pimpin pondok keren pimpin al ikhlash terima kunjung urus kks rukun keluarga sulawesi kairo,"['pimpin', 'pondok', 'keren', 'pimpin', 'al', 'ikhlash', 'terima', 'kunjung', 'urus', 'kks', 'rukun', 'keluarga', 'sulawesi', 'kairo']",1,Fasilitas,positif
3,PPM AL-Ikhlash Lampoko,sehat selalu pak ustaz aamiin pimpin al ikhlash terima kunjung urus kks rukun keluarga sulawesi kairo,Negatif,Kegiatan Pondok,Sehat selalu pak ustaz aamiin pimpin al ikhlash terima kunjung urus kks rukun keluarga sulawesi kairo,"['sehat', 'ustaz', 'aamiin', 'pimpin', 'al', 'ikhlash', 'terima', 'kunjung', 'urus', 'kks', 'rukun', 'keluarga', 'sulawesi', 'kairo']",1,Fasilitas,positif
4,PPM AL-Ikhlash Lampoko,semangat anak solehnya ummi d mudah nak d lancar semua amin rabbal al amin alhamdulillah ananda muh dzaki as syafiq laksana tasmi al qur an pukul wita sore pondok pesantren modern al ikhlash,Negatif,Umum,Semangat anak solehnya ummi d mudah nak d lancar semua amin rabbal al amin alhamdulillah ananda muh dzaki as syafiq laksana tasmi al qur an pukul wita sore pondok pesantren modern al ikhlash,"['semangat', 'anak', 'solehnya', 'ummi', 'd', 'mudah', 'nak', 'd', 'lancar', 'amin', 'rabbal', 'al', 'amin', 'alhamdulillah', 'ananda', 'muh', 'dzaki', 'as', 'syafiq', 'laksana', 'tasmi', 'al', 'qur', 'an', 'wita', 'sore', 'pondok', 'pesantren', 'modern', 'al', 'ikhlash']",1,Fasilitas,netral
5,PPM AL-Ikhlash Lampoko,masyaallah alhamdulillah ananda muh dzaki as syafiq laksana tasmi al qur an pukul wita sore pondok pesantren modern al ikhlash,Positif,Umum,Masyaallah alhamdulillah ananda muh dzaki as syafiq laksana tasmi al qur an pukul wita sore pondok pesantren modern al ikhlash,"['masyaallah', 'alhamdulillah', 'ananda', 'muh', 'dzaki', 'as', 'syafiq', 'laksana', 'tasmi', 'al', 'qur', 'an', 'wita', 'sore', 'pondok', 'pesantren', 'modern', 'al', 'ikhlash']",1,Fasilitas,positif
6,PPM AL-Ikhlash Lampoko,aamiin moga giat di lancar kati allah swt alhamdulillah ananda muh dzaki as syafiq laksana tasmi al qur an pukul wita sore pondok pesantren modern al ikhlash,Positif,Umum,Aamiin moga giat di lancar kati allah swt alhamdulillah ananda muh dzaki as syafiq laksana tasmi al qur an pukul wita sore pondok pesantren modern al ikhlash,"['aamiin', 'moga', 'giat', 'lancar', 'kati', 'allah', 'swt', 'alhamdulillah', 'ananda', 'muh', 'dzaki', 'as', 'syafiq', 'laksana', 'tasmi', 'al', 'qur', 'an', 'wita', 'sore', 'pondok', 'pesantren', 'modern', 'al', 'ikhlash']",1,Fasilitas,positif
7,PPM AL-Ikhlash Lampoko,aamiin xd moga mudah lancar nak zaki alhamdulillah ananda muh dzaki as syafiq laksana tasmi al qur an pukul wita sore pondok pesantren modern al ikhlash,Positif,Umum,Aamiin xd moga mudah lancar nak zaki alhamdulillah ananda muh dzaki as syafiq laksana tasmi al qur an pukul wita sore pondok pesantren modern al ikhlash,"['aamiin', 'xd', 'moga', 'mudah', 'lancar', 'nak', 'zaki', 'alhamdulillah', 'ananda', 'muh', 'dzaki', 'as', 'syafiq', 'laksana', 'tasmi', 'al', 'qur', 'an', 'wita', 'sore', 'pondok', 'pesantren', 'modern', 'al', 'ikhlash']",1,Fasilitas,positif
8,PPM AL-Ikhlash Lampoko,masyaallah moga mudah nak alhamdulillah ananda muh dzaki as syafiq laksana tasmi al qur an pukul wita sore pondok pesantren modern al ikhlash,Positif,Umum,Masyaallah moga mudah nak alhamdulillah ananda muh dzaki as syafiq laksana tasmi al qur an pukul wita sore pondok pesantren modern al ikhlash,"['masyaallah', 'moga', 'mudah', 'nak', 'alhamdulillah', 'ananda', 'muh', 'dzaki', 'as', 'syafiq', 'laksana', 'tasmi', 'al', 'qur', 'an', 'wita', 'sore', 'pondok', 'pesantren', 'modern', 'al', 'ikhlash']",1,Fasilitas,positif
9,PPM AL-Ikhlash Lampoko,masyaallah alhamdulillah ananda muh dzaki as syafiq laksana tasmi al qur an pukul wita sore pondok pesantren modern al ikhlash,Positif,Umum,Masyaallah alhamdulillah ananda muh dzaki as syafiq laksana tasmi al qur an pukul wita sore pondok pesantren modern al ikhlash,"['masyaallah', 'alhamdulillah', 'ananda', 'muh', 'dzaki', 'as', 'syafiq', 'laksana', 'tasmi', 'al', 'qur', 'an', 'wita', 'sore', 'pondok', 'pesantren', 'modern', 'al', 'ikhlash']",1,Fasilitas,positif
10,PPM AL-Ikhlash Lampoko,semangat sukses nak aamiin alhamdulillah ananda muh dzaki as syafiq laksana tasmi al qur an pukul wita sore pondok pesantren modern al ikhlash,Positif,Umum,Semangat sukses nak aamiin alhamdulillah ananda muh dzaki as syafiq laksana tasmi al qur an pukul wita sore pondok pesantren modern al ikhlash,"['semangat', 'sukses', 'nak', 'aamiin', 'alhamdulillah', 'ananda', 'muh', 'dzaki', 'as', 'syafiq', 'laksana', 'tasmi', 'al', 'qur', 'an', 'wita', 'sore', 'pondok', 'pesantren', 'modern', 'al', 'ikhlash']",1,Fasilitas,positif
11,PPM AL-Ikhlash Lampoko,masyaallah peluang beasiswa tunisia santri al ikhlash lampoko sulawesi barat,Netral,Umum,Masyaallah peluang beasiswa tunisia santri al ikhlash lampoko sulawesi barat,"['masyaallah', 'peluang', 'beasiswa', 'tunisia', 'santri', 'al', 'ikhlash', 'lampoko', 'sulawesi', 'barat']",6,Akademik,netral
12,PPM AL-Ikhlash Lampoko,jenjang didik apa peluang beasiswa tunisia santri al ikhlash lampoko sulawesi barat,Negatif,Umum,Jenjang didik apa peluang beasiswa tunisia santri al ikhlash lampoko sulawesi barat,"['jenjang', 'didik', 'peluang', 'beasiswa', 'tunisia', 'santri', 'al', 'ikhlash', 'lampoko', 'sulawesi', 'barat']",6,Akademik,negatif
13,PPM AL-Ikhlash Lampoko,masyaallah peluang beasiswa tunisia santri al ikhlash lampoko sulawesi barat,Netral,Umum,Masyaallah peluang beasiswa tunisia santri al ikhlash lampoko sulawesi barat,"['masyaallah', 'peluang', 'beasiswa', 'tunisia', 'santri', 'al', 'ikhlash', 'lampoko', 'sulawesi', 'barat']",6,Akademik,netral
14,PPM AL-Ikhlash Lampoko,masyaallah peluang beasiswa tunisia santri al ikhlash lampoko sulawesi barat,Netral,Umum,Masyaallah peluang beasiswa tunisia santri al ikhlash lampoko sulawesi barat,"['masyaallah', 'peluang', 'beasiswa', 'tunisia', 'santri', 'al', 'ikhlash', 'lampoko', 'sulawesi', 'barat']",6,Akademik,netral
15,PPM AL-Ikhlash Lampoko,sayang ribu sayang anandaqu moga lebih tingkat bahasa arab peluang beasiswa tunisia santri al ikhlash lampoko sulawesi barat,Negatif,Umum,Sayang ribu sayang anandaqu moga lebih tingkat bahasa arab peluang beasiswa tunisia santri al ikhlash lampoko sulawesi barat,"['sayang', 'ribu', 'sayang', 'anandaqu', 'moga', 'tingkat', 'bahasa', 'arab', 'peluang', 'beasiswa', 'tunisia', 'santri', 'al', 'ikhlash', 'lampoko', 'sulawesi', 'barat']",6,Akademik,positif
16,PPM AL-Ikhlash Lampoko,masyaallah peluang beasiswa tunisia santri al ikhlash lampoko sulawesi barat,Netral,Umum,Masyaallah peluang beasiswa tunisia santri al ikhlash lampoko sulawesi barat,"['masyaallah', 'peluang', 'beasiswa', 'tunisia', 'santri', 'al', 'ikhlash', 'lampoko', 'sulawesi', 'barat']",6,Akademik,netral
